assists,blocks,field_goal_attempts,field_goals,free_throw_attempts,free_throws,match_date,minutes,personal_fouls,player_name,points,quarter,rebounds,source_url,steals,team,three_point_field_goal_attempts,three_point_field_goals,turnovers
0,0,3,1,0,0,20231201,6:57,2,Kyle Kuzma,2,Q4,0,https://www.basketball-reference.com/boxscores/202312010ORL.html,0,WAS,0,0,1
1,1,2,2,8,7,20231101,10:31,0,Shaedon Sharpe,11,Q4,1,https://www.basketball-reference.com/boxscores/202311010DET.html,1,POR,0,0,1
0,0,1,0,0,0,20231024,9:16,1,D'Angelo Russell,0,Q4,1,https://www.basketball-reference.com/boxscores/202310240DEN.html,0,LAL,1,0,2
0,0,5,1,4,3,20231201,5:04,2,Jordan Poole,5,Q4,1,https://www.basketball-reference.com/boxscores/202312010ORL.html,0,WAS,3,0,0
2,0,5,2,4,3,20231201,12:00,3,Patrick Beverley,8,Q4,1,https://www.basketball-reference.com/boxscores/202312010BOS.html,0,PHI,2,1,0
3,0,5,3,0,0,20231024,7:24,1,Devin Booker,7,Q4,1,https://www.basketball-reference.com/boxscores/202310240GSW.html,1,PHO,3,1,2
2,0,1,1,0,0,20231101,5:18,0,Damian Lillard,3,Q4,0,https://www.basketball-reference.com/boxscores/202311010TOR.html,0,MIL,1,1,0
1,0,2,2,2,1,20231201,3:44,0,Desmond Bane,6,Q4,0,https://www.basketball-reference.com/boxscores/202312010DAL.html,0,MEM,1,1,0
0,0,4,1,4,3,20231101,9:39,1,Jerami Grant,6,Q4,0,https://www.basketball-reference.com/boxscores/202311010DET.html,0,POR,2,1,1
1,0,1,1,0,0,20231101,9:39,0,Deandre Ayton,2,Q4,4,https://www.basketball-reference.com/boxscores/202311010DET.html,2,POR,0,0,0
1,0,1,0,0,0,20231024,7:33,0,Anthony Davis,0,Q4,1,https://www.basketball-reference.com/boxscores/202310240DEN.html,0,LAL,1,0,0
1,0,2,1,5,3,20231024,7:00,2,Austin Reaves,6,Q4,0,https://www.basketball-reference.com/boxscores/202310240DEN.html,0,LAL,2,1,1
1,1,3,2,2,1,20231201,7:38,1,Daniel Gafford,5,Q4,5,https://www.basketball-reference.com/boxscores/202312010ORL.html,0,WAS,0,0,0
2,0,2,1,0,0,20231201,5:41,0,Tyus Jones,2,Q4,1,https://www.basketball-reference.com/boxscores/202312010ORL.html,0,WAS,1,0,0
0,0,5,0,2,0,20231201,10:24,1,Tobias Harris,0,Q4,2,https://www.basketball-reference.com/boxscores/202312010BOS.html,2,PHI,0,0,2
0,0,4,1,0,0,20231201,6:52,2,De'Anthony Melton,2,Q4,1,https://www.basketball-reference.com/boxscores/202312010BOS.html,1,PHI,1,0,1
1,1,6,2,0,0,20231024,11:19,0,Kevin Durant,4,Q4,5,https://www.basketball-reference.com/boxscores/202310240GSW.html,0,PHO,0,0,0
0,0,2,1,2,1,20231101,3:05,0,Giannis Antetokounmpo,3,Q4,0,https://www.basketball-reference.com/boxscores/202311010TOR.html,0,MIL,0,0,1
0,0,2,1,0,0,20231201,5:19,2,David Roddy,2,Q4,0,https://www.basketball-reference.com/boxscores/202312010DAL.html,0,MEM,0,0,0
0,0,5,1,0,0,20231025,5:33,0,Fred VanVleet,2,Q4,1,https://www.basketball-reference.com/boxscores/202310250ORL.html,0,HOU,1,0,1
,,,,,,20231101,,,Scoot Henderson,,Q4,,https://www.basketball-reference.com/boxscores/202311010DET.html,,POR,,,
,,,,,,20231101,,,Matisse Thybulle,,Q4,,https://www.basketball-reference.com/boxscores/202311010DET.html,,POR,,,
0,0,1,0,2,2,20231101,10:34,2,Toumani Camara,2,Q4,5,https://www.basketball-reference.com/boxscores/202311010DET.html,1,POR,0,0,1
,,,,,,20231101,,,Kyle Kuzma,,Q4,,https://www.basketball-reference.com/boxscores/202311010ATL.html,,WAS,,,
0,0,1,1,0,0,20231024,7:00,0,Taurean Prince,3,Q4,0,https://www.basketball-reference.com/boxscores/202310240DEN.html,0,LAL,1,1,1
