assists,blocks,field_goal_attempts,field_goals,free_throw_attempts,free_throws,match_date,minutes,personal_fouls,player_name,points,quarter,rebounds,source_url,steals,team,three_point_field_goal_attempts,three_point_field_goals,turnovers
1,0,3,2,4,3,20240201,12:00,2,Tyrese Maxey,8,Q4,0,https://www.basketball-reference.com/boxscores/202402010UTA.html,0,PHI,1,1,0
1,1,6,3,2,1,20240201,9:37,1,Kelly Oubre Jr.,10,Q4,1,https://www.basketball-reference.com/boxscores/202402010UTA.html,0,PHI,4,3,0
4,1,3,2,2,2,20240201,12:00,1,Tobias Harris,6,Q4,0,https://www.basketball-reference.com/boxscores/202402010UTA.html,0,PHI,1,0,0
0,0,2,0,0,0,20240201,2:23,0,Paul Reed,0,Q4,1,https://www.basketball-reference.com/boxscores/202402010UTA.html,1,PHI,1,0,0
2,0,6,1,1,1,20240609,10:49,0,Luka Dončić,3,Q4,4,https://www.basketball-reference.com/boxscores/202406090BOS.html,1,DAL,2,0,2
,,,,,,20240201,,,Danuel House Jr.,,Q4,,https://www.basketball-reference.com/boxscores/202402010UTA.html,,PHI,,,
2,0,1,0,0,0,20240201,9:32,2,Jaden Springer,0,Q4,1,https://www.basketball-reference.com/boxscores/202402010UTA.html,1,PHI,0,0,0
3,0,5,2,0,0,20240609,12:00,1,Kyrie Irving,4,Q4,2,https://www.basketball-reference.com/boxscores/202406090BOS.html,0,DAL,1,0,1
0,0,1,1,0,0,20240201,2:30,0,Patrick Beverley,3,Q4,1,https://www.basketball-reference.com/boxscores/202402010UTA.html,0,PHI,1,1,0
0,0,4,2,2,2,20240609,9:49,0,P.J. Washington,6,Q4,3,https://www.basketball-reference.com/boxscores/202406090BOS.html,0,DAL,1,0,0
0,2,1,1,0,0,20240201,7:14,0,Mo Bamba,2,Q4,3,https://www.basketball-reference.com/boxscores/202402010UTA.html,0,PHI,0,0,0
0,1,1,1,2,2,20240609,9:17,0,Derrick Jones Jr.,4,Q4,1,https://www.basketball-reference.com/boxscores/202406090BOS.html,0,DAL,0,0,0
0,0,4,2,0,0,20240201,4:44,0,Furkan Korkmaz,5,Q4,0,https://www.basketball-reference.com/boxscores/202402010UTA.html,0,PHI,3,1,0
0,0,4,3,2,1,20240609,8:28,0,Daniel Gafford,7,Q4,4,https://www.basketball-reference.com/boxscores/202406090BOS.html,0,DAL,0,0,0
